 WL        Abs       T%
 796.0  0.219899  60.270031
 797.0  0.219557  60.317432
 798.0  0.219210  60.365730
 799.0  0.218792  60.423782
 800.0  0.218333  60.487671
 801.0  0.217977  60.537304
 802.0  0.217663  60.581104
 803.0  0.217184  60.647923
 804.0  0.216874  60.691189
 805.0  0.216453  60.750156
 806.0  0.216134  60.794781
 807.0  0.215738  60.850224
 808.0  0.215362  60.902843
 809.0  0.215047  60.947025
 810.0  0.214665  61.000751
 811.0  0.214218  61.063557
 812.0  0.213844  61.116192
 813.0  0.213397  61.179085
 814.0  0.212988  61.236660
 815.0  0.212591  61.292744
 816.0  0.212117  61.359707
 817.0  0.211765  61.409447
 818.0  0.211342  61.469250
 819.0  0.210933  61.527134
 820.0  0.210528  61.584648
 821.0  0.210221  61.628124
 822.0  0.209854  61.680214
 823.0  0.209570  61.720642
 824.0  0.209131  61.783070
 825.0  0.208821  61.827160
 826.0  0.208316  61.899109
 827.0  0.207956  61.950424
 828.0  0.207633  61.996506
 829.0  0.207295  62.044754
 830.0  0.206905  62.100433
 831.0  0.206556  62.150383
 832.0  0.206225  62.197842
 833.0  0.205875  62.247887
 834.0  0.205627  62.283451
 835.0  0.205250  62.337551
 836.0  0.204852  62.394745
 837.0  0.204557  62.437199
 838.0  0.204163  62.493763
 839.0  0.203835  62.541092
 840.0  0.203456  62.595570
 841.0  0.203026  62.657627
 842.0  0.202764  62.695492
 843.0  0.202334  62.757599
 844.0  0.202014  62.803764
 845.0  0.201661  62.854813
 846.0  0.201304  62.906525
 847.0  0.200916  62.962753
 848.0  0.200584  63.010971
 849.0  0.200271  63.056355
 850.0  0.200202  63.066463
 851.0  0.199654  63.145954
 852.0  0.199280  63.200386
 853.0  0.198952  63.248112
 854.0  0.198693  63.285934
 855.0  0.198323  63.339844
 856.0  0.198087  63.374245
 857.0  0.197752  63.423107
 858.0  0.197385  63.476803
 859.0  0.197015  63.530838
 860.0  0.196691  63.578274
 861.0  0.196188  63.651943
 862.0  0.195978  63.682842
 863.0  0.195573  63.742233
 864.0  0.195203  63.796459
 865.0  0.194967  63.831196
 866.0  0.194623  63.881832
 867.0  0.194293  63.930386
 868.0  0.193955  63.980103
 869.0  0.193604  64.031898
 870.0  0.193193  64.092461
 871.0  0.192954  64.127708
 872.0  0.192558  64.186295
 873.0  0.192275  64.228134
 874.0  0.191954  64.275543
 875.0  0.191588  64.329781
 876.0  0.191161  64.393028
 877.0  0.190834  64.441544
 878.0  0.190509  64.489769
 879.0  0.190274  64.524628
 880.0  0.189807  64.594116
 881.0  0.189434  64.649597
 882.0  0.189131  64.694725
 883.0  0.188917  64.726624
 884.0  0.188597  64.774307
 885.0  0.188317  64.816109
 886.0  0.188027  64.859444
 887.0  0.187814  64.891174
 888.0  0.187384  64.955544
 889.0  0.186999  65.013107
 890.0  0.186765  65.048126
 891.0  0.186500  65.087921
 892.0  0.186262  65.123466
 893.0  0.185807  65.191772
 894.0  0.185555  65.229607
 895.0  0.185334  65.262848
 896.0  0.185047  65.305946
 897.0  0.184795  65.343941
 898.0  0.184453  65.395348
 899.0  0.184219  65.430672
 900.0  0.183850  65.486259
 901.0  0.183499  65.539215
 902.0  0.183262  65.575027
 903.0  0.182973  65.618599
 904.0  0.182609  65.673599
 905.0  0.182374  65.709206
 906.0  0.182163  65.741089
 907.0  0.181788  65.797829
 908.0  0.181441  65.850441
 909.0  0.181123  65.898720
 910.0  0.180873  65.936737
 911.0  0.180598  65.978447
 912.0  0.180347  66.016563
 913.0  0.180112  66.052254
 914.0  0.179718  66.112206
 915.0  0.179292  66.177147
 916.0  0.179027  66.217537
 917.0  0.178794  66.253029
 918.0  0.178467  66.302948
 919.0  0.178300  66.328415
 920.0  0.178053  66.366165
 921.0  0.177793  66.405907
 922.0  0.177439  66.460144
 923.0  0.177175  66.500488
 924.0  0.176854  66.549759
 925.0  0.176635  66.583191
 926.0  0.176416  66.616829
 927.0  0.176104  66.664772
 928.0  0.175960  66.686867
 929.0  0.175670  66.731361
 930.0  0.175390  66.774399
 931.0  0.175182  66.806335
 932.0  0.174960  66.840492
 933.0  0.174802  66.864899
 934.0  0.174515  66.909088
 935.0  0.174265  66.947556
 936.0  0.173945  66.996986
 937.0  0.173692  67.035988
 938.0  0.173443  67.074417
 939.0  0.173126  67.123413
 940.0  0.172923  67.154816
